string,string,string
字段,中文,英文
Key,CN,EN
Common_System,系统,System
Common_SystemNotice,系统公告,System notice
Common_Sure,确定,Sure
Common_Cancel,取消,Cancel
Common_Any_Close,点击任意空白区域关闭,
Common_Title,提示,
Common_Login,登录,
HUD_Button_Hotel,旅店,
HUD_Button_Shop,商店,
HUD_Button_Machine,扭一扭,
HUD_Button_Task,任务,
HUD_Button_Staff,员工,
Function_Build_Hotlepreserve_01,修复大厅,
Function_Build_Hotlepreserve_02,建造小费罐,
Function_Build_Hotlepreserve_03,解锁餐厅,
Function_Build_Hotlepreserve_04,修复楼梯,
Function_Build_Hotlepreserve_05,修复二楼地板,
Function_Build_Hotlepreserve_06,建造房间201,
Function_Build_Hotlepreserve_07,建造告示栏,
Function_Build_Hotlepreserve_08,建造房间202,
Function_Build_Hotlepreserve_09,建造二楼功能房,
Function_Build_Hotlepreserve_10,修复楼顶,
Function_Build_tip_name,小费上限,
Function_Build_tip_desc,你可以获得一个更大更大的小费罐，但是愿意给多少可得完全看客人们的心情了。,
Function_Build_afktime_name,离线收益,
Function_Build_afktime_desc,你已经是一个成熟的旅店了，需要学会自己赚钱了。,
Function_Build_autoserve_name,旅店宣传,
Function_Build_autoserve_desc,我们的客人总是慕名而来。,
lounge_bed_name_lv1,廉价小床,
lounge_bed_desc_lv1,廉价的普通小床，除了一分钱一分货这个质朴的优点以外。没有其他值得称道的地方。,
Furniture_Lounge_field_01_name,一号床铺,
Furniture_Lounge_field_02_name,门厅,
Furniture_Lounge_field_03_name,二号床铺,
Furniture_Lounge_field_04_name,前门柜,
Furniture_Lounge_field_05_name,思考区,
Furniture_Lounge_field_06_name,特产展示,
Furniture_Lounge_field_07_name,三号床铺,
Furniture_Lounge_field_08_name,沙发,
Furniture_Lounge_field_09_name,展示柜,
Furniture_Lounge_field_10_name,四号床铺,
Furniture_Lounge_field_11_name,娱乐区,
Furniture_Lounge_field_12_name,休息区,
Furniture_Lounge_field_13_name,墙,
Furniture_Lounge_field_14_name,卧室地板,
Furniture_Lounge_field_15_name,卧室地板,
Furniture_Lounge_field_16_name,大厅地板,
Function_house_name_01,休息室,
Function_house_name_02,单人间201,
Function_house_name_03,餐厅,
Function_house_name_04,单人间202,
Function_house_name_05,温泉,
Function_house_desc_01,休闲，品茗，棋牌,
Function_house_desc_02,尊贵的单人专属房间,
Function_house_desc_03,提供来自魔界的真正黑暗料理,
Function_house_desc_04,尊贵的单人专属房间,
Function_house_desc_05,请自行调节水温,
lounge_frontdesk_name_lv1,简易柜子,
lounge_frontdesk_desc_lv1,这是一个可以打开并且可以在方面放置物品的本分柜子。,
lounge_dooradorn_name_lv1,朴素门饰,
lounge_dooradorn_desc_lv1,通过在门口摆放装饰可以让环境显得不那么寒酸，但如果拿寒酸的东西摆放在门口就另说了。,
lounge_paying02_name_lv1,自助占卜,
lounge_paying02_desc_lv1,*“心诚则灵，本设备不含魔法“*,
lounge_paying01_name_lv1,魔能饮料,
lounge_paying01_desc_lv1,那么代价是什么呢？,
lounge_sofa_name_lv1,古董沙发,
lounge_sofa_desc_lv1,古董不一定值钱，但是一定很旧。,
lounge_selling_name_lv1,传统坩埚,
lounge_selling_desc_lv1,来自家乡的传统口味，干净又卫生。,
lounge_gamearea_name_lv1,儿童玩具,
lounge_gamearea_desc_lv1,对于小孩子可能太幼稚了，但是对于小怪物刚刚好。,
lounge_restarea_name_lv1,和睦座椅,
lounge_restarea_desc_lv1,在进行干瞪眼游戏时，先生气的人就算输了。,
lounge_wall_name_lv1,战损墙面,
lounge_wall_desc_lv1,充满了历史的底蕴。,
lounge_groundroom1_name_lv1,厚德地板,
lounge_groundroom1_desc_lv1,基于人体工程力学在使用过程中覆盖了厚厚的缓冲层。,
lounge_groundhouse_name_lv1,载物地板,
lounge_groundhouse_desc_lv1,有点塌陷不过问题不大。,
Common_furnitureparam_xxs,休息室收入+%s,
